Organisationsname,Straße,Postleitzahl,Stadt,Bildungsbereich,Tag(s),Schultyp,Bundesland,Land,Änderungsdatum
Hans-Thoma-Schule Karlsruhe,Markgrafenstraße 42,D-76133,Karlsruhe,Primarbereich,"Ehrung_2017,Erstbewerber MINT 2017,Wissensfabrik Partnerschulen 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BW,Deutschland,2020-03-28 08:33:14
Realschule Bissingen,"Realschule Bissingen, Marbacher Weg 35",74321,Bietigheim-Bissingen,,"Ehrung_2017,Erstbewerber MINT 2017,Bewerbung Digitale Schule 2019,Vorbewertung 2019 erfolgt,Digitale Schule Ehrung 2019,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020",Realschule,BW,Deutschland,2020-05-28 11:02:15
Wilhelm-August-Lay Schule Bötzingen SEK,Wilhelm-August-Lay-Straße 1,79268,Bötzingen,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Verbundschule mit Grund- Werkreal- und Realschule,BW,Deutschland,2020-05-28 11:46:39
Stromberg-Gymnasium Vaihingen an der Enz,Nebenweg 1,71665,Vaihingen,,"Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-30 10:48:09
Gartenschule Karlsruhe - Montessori-Grundschule,Gartenstraße 20-22,76133,Karlsruhe,Primarbereich,"Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BW,Deutschland,2020-06-18 22:39:02
Karl-Kessler-Schule Aalen-Wasseralfingen,Hofwiesenstraße 47-53,73433,Aalen-Wasseralfingen,,"Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka","Grundschule, Realschule",BW,Deutschland,2020-07-31 11:56:45
Lise-Meitner-Gymnasium Königsbach-Stein,Steiner Str. 48,75203,Königsbach-Stein,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-30 12:59:36
Rosenstein Gymnasium Heubach,Helmut-Hörmann-Straße 19,73540,Heubach,,"MINT-EC,Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-20 14:04:49
Ehrhart-Schott-Schule Schwetzingen,Lessingstraße 18,68723,Schwetzingen,,"Metropolregion Rhein-Neckar MINT-Region,Ehrung_2017,Erstbewerber MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Berufsbildende Schule,BW,Deutschland,2020-05-29 19:18:25
Hans-Thoma-Schule Malsch,Adolf-Bechler-Str. 11,76316,Malsch,,"Bewerbung MINT 2015,Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gemeinschaftsschule,BW,Deutschland,2020-08-09 11:54:19
Sophie-von-Harder-Schule Sasbach,Obersasbacher Straße 18,77880,Sasbach (Ortenau),Primarbereich,"Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BW,Deutschland,2020-05-25 09:20:21
Erich Kästner Gymnasium Eislingen,Talstraße 50,73054,Eislingen,,"Interessenten MINT-freundliche Schule,Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-04-08 13:12:30
Hans-Grüninger-Gymnasium Markgröningen,Schwieberdinger Str. 12,71706,Markgröningen,,"Interessenten MINT-freundliche Schule,Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020",Gymnasium,BW,Deutschland,2020-05-29 09:40:51
Buchenbergschule Ellwangen,Pestalozziweg 4,73479,Ellwangen,,"Ehrung_2017,Erstbewerber MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gemeinschaftsschule,BW,Deutschland,2020-05-05 14:24:21
Hans und Sophie Scholl-Gymnasium Ulm,Wagnerstrasse 1,89077,Ulm,,"Interessenten MINT-freundliche Schule,Ehrung_2017,Erstbewerber MINT 2017,Unesco Projektschule,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-24 22:45:46
Justinus-Kerner-Gymnasium Heilbronn,Max-von-Laue-Str. 1-3,74081,Heilbronn,,"Ehrung_2017,Erstbewerber MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnsium,BW,Deutschland,2020-03-31 22:39:20
Carlo-Schmid-Gymnasium Tübingen,Primus-Truber-Str. 37,72072,Tübingen,,"Interessenten MINT-freundliche Schule,02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-29 08:56:59
Erasmus Widmann Gymnasium Schwäbisch Hall,Berliner Str.16,74523,Schwäbisch Hall,,"Erstbewerber MINT 2016,Ehrung_2017,Erstbewerber MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-29 13:25:46
Deutschorden-Gymnasium Bad Mergentheim,Kopernikusstraße 11,97980,Bad Mergentheim,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Wissensfabrik Partnerschulen 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-15 15:59:33
Gymnasium Hohenstaufen Eberbach,Parallelweg 1,69412,Eberbach,,"Metropolregion Rhein-Neckar MINT-Region,Wissensfabrik Partnerschulen 2018,Bewerbung Digitale Schule 2019,Vorbewertung 2019 erfolgt,Digitale Schule Ehrung 2019,02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2019-07-29 11:26:36
Immanuel-Kant-Gymnasium Leinfelden,Anemonenstr. 15,70771,Leinfelden,,"Ehrung_2017,Erstbewerber MINT 2017,Wissensfabrik Partnerschulen 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-26 15:00:44
Goethe-Gymnasium Karlsruhe,Renckstraße 2,76133,Karlsruhe,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Wissensfabrik Partnerschulen 2018,Bewerbung Digitale Schule 2019,Vorbewertung 2019 erfolgt,keine Digital Ehrung 2019,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-26 11:05:26
Lichtenstern-Gymnasium Sachsenheim,Ludwigsburger Straße 34,74343,Sachsenheim,,"Wissensfabrik Partnerschulen 2018,02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-06-03 11:37:45
Pestalozzi-Gymnasium Biberach,Breslaustraße 8,88400,Biberach,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,Wissensfabrik Partnerschulen 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-03-16 14:05:05
Albertus-Magnus-Gymnasium Ettlingen,Middelkerker Str. 1-5,76275,Ettlingen,,"Ehrung_2017,Erstbewerber MINT 2017,Bewerbung Digitale Schule 2019,Vorbewertung 2019 erfolgt,keine Digital Ehrung 2019,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-28 10:26:22
Hans-Baldung-Gymnasium Schwäbisch Gmünd,"Mörikestraße, 5",73525,Schwäbisch Gmünd,,"Bewerbung Digitale Schule 2019,Erstbewerber MINT 2019,Vorbewertung 2019 erfolgt,keine MINT Ehrung 2019,Digitale Schule Ehrung 2019,02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-29 16:34:29
Elisabeth-Selbert-Gymnasium Filderstadt,Tübinger Str. 71,70794,Filderstadt,,"Ehrung_2014,MINT-EC,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2019,Vorbewertung 2019 erfolgt,Digitale Schule Ehrung 2019,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2019-08-05 21:33:19
Mörike-Realschule Mühlacker,Lindachstraße 2,75417,Mühlacker,,"02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BW,Deutschland,2020-04-03 15:22:32
Kaufmännische Schulen 1 Villingen-Schwenningen,Herdstr. 7/2,78050,Villingen-Schwenningen,,"Erstbewerber MINT 2018,02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Berufliche Schule,BW,Deutschland,2020-04-28 16:45:01
Ganztagsgymnasium Osterburken,Hemsbacher Str. 24,74706,Osterburken,,"02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-12 11:01:12
Marie-Curie Gymnasium Kirchzarten,Giersbergstr. 33,79199,Kirchzarten,,"02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-25 16:31:11
Ludwig-Uhland-Schule Wendlingen am Neckar ,Neuffenstraße 35,73240,Wendlingen am Neckar,,"02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gemeinschaftsschule,BW,Deutschland,2020-05-26 10:36:20
Friedrich-List Gemeinschaftsschule Mössingen,Goethestraße 23,72116,Mössingen,,"02 Erst-Bewerbung Digitale Schule 2020,02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,03 Vorbewertungen beide (MS und DS) erfolgt 2020",Gemeinschaftsschule,BW,Deutschland,2020-05-29 07:49:30
Ferdinand-Porsche-Schule Gemeinschaftsschule Weissach,Nußdorfer Straße 34,71287,Weissach,,"02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gemeinschaftsschule,BW,Deutschland,2020-07-30 08:55:56
Bildungszentrum Meckenbeuren,Theodor-Heuss-Platz 5/6,88074,Meckenbeuren,,"02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule und Werkrealschule,BW,Deutschland,2020-05-30 10:36:43
Realschule Ravensburg,Wilhelmstraße 7,88212,Ravensburg,,"02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BW,Deutschland,2020-05-30 13:45:46
Robert-Schuman-Realschule Waldshut,Freidrichstraße 11,79761,Waldshut,,"02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BW,Deutschland,2020-05-31 07:41:32
Gymnasium Achern,Berliner Straße 30,77855,Achern,,"02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BW,Deutschland,2020-05-31 22:15:23
Privatgymnasium Dr. Florian Überreiter München,Pariser Straße 30,81667,München,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,München Stadt (PLZ: 80331-81929),02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-06-18 13:07:51
Hermann-Staudinger-Gymnasium Erlenbach a. Main,Elsenfelder Str. 55,63906,Erlenbach a. Main,,"Ehrung_2014,MINT-EC,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2019,Vorbewertung 2019 erfolgt,Digitale Schule Ehrung 2019,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-05-27 13:17:06
St.-Ursula-Schule Würzburg,Augustinerstraße 17,97070,Würzburg,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule/Gymnasium,BY,Deutschland,2017-09-01 09:15:23
Gymnasium Steigerwald-Landschulheim Wiesentheid,Hans-Zander-Platz 1,97353,Wiesentheid,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-08-06 08:50:05
Johann-Simon-Mayr-Schule Staatliche Realschule Riedenburg,Schulstraße 21,93339,Riedenburg,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2020-06-30 06:27:17
Staatliche Realschule Vilsbiburg,Amselstraße 6,84137,Vilsbiburg,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Wissensfabrik Partnerschulen 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2020-05-04 18:58:35
Staatliche Wirtschaftsschule Landshut,Parkstraße 41,84032,Landshut,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Staatl. Wirtschaftsschule,BY,Deutschland,2020-05-14 09:57:15
St.-Gotthard-Gymnasium der Benediktiner Niederaltaich,Hengersberger Straße 19,94557,Niederalteich,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2019,Vorbewertung 2019 erfolgt,Digitale Schule Ehrung 2019,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2019-11-28 13:31:23
Realschule Simbach am Inn,Kirchenplatz 2,84359,Simbach am Inn,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2020-05-28 10:02:35
Gymnasium Veitshöchheim,Günterslebener Str. 45,97209,Veitshöchheim,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-05-28 12:32:58
Gymnasium Wertingen,Pestalozzistr. 12,86637,Wertingen,,"Ehrung_2011,Ehrung_2015,Bewerbung MINT 2011,Bewerbung MINT 2015,Digitale Schule Ehrung 2017,Bewerbung Digitale Schule 2017,Erneute Bewerbung MINT 2018,Ehrung_2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-03-28 08:20:18
Christoph-Jacob-Treu-Gymnasium Lauf,Hardtstraße 37,91207,Lauf an der Pegnitz,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-05-27 13:12:59
Rupprecht-Gymnasium München,Albrechtstraße 7,80636,München,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,München Stadt (PLZ: 80331-81929),02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-05-29 16:38:33
Staatliche Realschule Neubiberg,Buchenstraße 4,85579,Neubiberg,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Landkreis München (PLZ: 82008-85774),02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2020-05-25 18:17:01
Private Wirtschaftsschule Donauwörth,Reichsstr. 32,86609,Donauwörth,,"Ehrung_2011,Ehrung_2014,Bewerbung MINT 2011,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Wirtschaftsschule,BY,Deutschland,2020-05-31 22:10:14
Grundschule Mitterdorf,Bgm.-Bräu-Straße 5,93426,Roding,Primarbereich,"Ehrung_2012,Ehrung_2015,Bewerbung MINT 2012,Bewerbung MINT 2015,02 Erst-Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BY,Deutschland,2020-05-28 10:55:53
Karl-von-Closen-Gymnasium Eggenfelden,Gerner Allee 1,84307,Eggenfelden,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-05-17 19:00:14
Marien-Realschule Kaufbeuren des Schulwerks der Diözese Augsburg,Kemnater Straße 15,87600,Kaufbeuren,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2018,Digitale Schule Ehrung 2018,02 Erneute Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,01 Digitale Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2019-02-07 13:40:21
Grundschule Neustift Freising,Eckerstraße 24,85356,Freising,Primarbereich,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BY,Deutschland,2020-05-20 19:26:49
Schyren-Gymnasium Pfaffenhofen,Niederscheyererstraße 4,95276,Pfaffenhofen,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-08-06 08:03:02
Karl-Theodor-von-Dalberg-Gymnasium Aschaffenburg,Grünewaldstraße 18,63739,Aschaffenburg,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Region Unterfranken Bayern,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-05-25 17:54:36
Deichselbach-Schule Buttenheim,Schulstraße 16,96155,Buttenheim,Primarbereich,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Grundschule,BY,Deutschland,2020-06-03 09:12:38
Apian-Gymnasium Ingolstadt,Maximilianstr. 25,85051,Ingolstadt,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-04-23 16:44:40
Gymnasium Zwiesel,Dr. Schott - Str. 54,94227,Zwiesel,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Bewerbung Digitale Schule 2017,Bewerbung Digitale Schule 2018,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-05-18 10:07:56
Gymnasium Kirchheim bei München,Heimstettner Straße 1,85551,München,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Wissensfabrik Partnerschulen 2018,Landkreis München (PLZ: 82008-85774),02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-05-26 14:54:35
Robert-Schuman-Gymnasium Cham,Pfarrer-Lukas-Straße 36,93413,Cham,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,MINT-Region Landkreis Cham,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-05-28 08:12:48
Simon-Marius-Gymnasium Gunzenhausen,Simon-Marius-Straße 3,91710,Gunzenhausen,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-08-06 08:56:55
St.-Michaels-Gymnasium Metten,Abteistraße 3,94526,Metten,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erst-Bewerbung Digitale Schule 2020,02 Erneute Bewerbung MINT-fr. Schule 2020,03 Vorbewertung 2020 erfolgt,01 MINT-fr. Schule Ehrung_2020,04 keine Digital Ehrung 2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-05-27 10:51:29
Staatliche Realschule Kaufering,Bayernstraße 12,86916,Kaufering,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2020-05-22 14:43:24
Markgraf-Georg-Friedrich Gymnasium Kulmbach,Schießgraben 1,95326,Kulmbach,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Gymnasium,BY,Deutschland,2020-03-10 13:13:21
Anton-Jaumann-Realschule Wemding,Polsinger Weg 13,86650,Wemding,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2020-05-15 15:35:19
Staatliche Realschule Pegnitz,Stadionstraße 22,91257,Pegnitz,,"Ehrung_2014,Bewerbung MINT 2014,Ehrung_2017,Erneute Bewerbung MINT 2017,Wissensfabrik Partnerschulen 2018,Bewerbung Digitale Schule 2019,Vorbewertung 2019 erfolgt,Digitale Schule Ehrung 2019,02 Erneute Bewerbung MINT-fr. Schule 2020,01 MINT-fr. Schule Ehrung_2020,00 bearbeitet von Solka",Realschule,BY,Deutschland,2019-05-29 14:27:44
